                   AC_BR_BONANZA   Too many newlines in a row... spammy template
                        ACCESSDB   Bericht zou gevangen zijn door accessdb
                        ACCESSDB   Ce message aurait été bloqué par accessdb
                        ACCESSDB   Mensagem teria sido pega pela accessdb
                        ACCESSDB   Message would have been caught by accessdb
                        ACCESSDB   Nachricht wäre von access.db erkannt worden
                        ACCESSDB   Wiadomo¶æ zosta³aby przechwycona przez accessdb
              ACCT_PHISHING_MANY   Phishing for account information
                  AC_DIV_BONANZA   Too many divs in a row... spammy template
               AC_FROM_MANY_DOTS   Multiple periods in From user name
           AC_HTML_NONSENSE_TAGS   Many consecutive multi-letter HTML tags, likely nonsense/spam
                  AC_POST_EXTRAS   Suspicious URL
        AC_SPAMMY_URI_PATTERNS10   link combos match highly spammy template
        AC_SPAMMY_URI_PATTERNS11   link combos match highly spammy template
        AC_SPAMMY_URI_PATTERNS12   link combos match highly spammy template
         AC_SPAMMY_URI_PATTERNS1   link combos match highly spammy template
         AC_SPAMMY_URI_PATTERNS2   link combos match highly spammy template
         AC_SPAMMY_URI_PATTERNS3   link combos match highly spammy template
         AC_SPAMMY_URI_PATTERNS4   link combos match highly spammy template
         AC_SPAMMY_URI_PATTERNS8   link combos match highly spammy template
         AC_SPAMMY_URI_PATTERNS9   link combos match highly spammy template
                    ACT_NOW_CAPS   Contém: "Act Now"
                    ACT_NOW_CAPS   Demande d'agir immédiatement (en majuscules)
                    ACT_NOW_CAPS   Heeft het in hoofdletters over "nu in actie komen"
                    ACT_NOW_CAPS   Reagieren Sie jetzt (in Großbuchstaben)
                    ACT_NOW_CAPS   Talks about 'acting now' with capitals
                    ACT_NOW_CAPS   Tekst 'ACTING NOW'
                          ADMAIL   "admail" and variants
                     ADMITS_SPAM   Admits this is an ad
                        AD_PREFS   Advertising preferences
                   ADVANCE_FEE_2   Aparenta ser fraude (Nigerian 419)
                   ADVANCE_FEE_2   Appears to be advance fee fraud (Nigerian 419)
          ADVANCE_FEE_2_NEW_FORM   Advance Fee fraud and a form
       ADVANCE_FEE_2_NEW_FRM_MNY   Advance Fee fraud form and lots of money
         ADVANCE_FEE_2_NEW_MONEY   Advance Fee fraud and lots of money
                   ADVANCE_FEE_3   Appears to be advance fee fraud (Nigerian 419)
               ADVANCE_FEE_3_NEW   Aparenta ser fraude (Nigerian 419)
               ADVANCE_FEE_3_NEW   Appears to be advance fee fraud (Nigerian 419)
          ADVANCE_FEE_3_NEW_FORM   Advance Fee fraud and a form
       ADVANCE_FEE_3_NEW_FRM_MNY   Advance Fee fraud form and lots of money
         ADVANCE_FEE_3_NEW_MONEY   Advance Fee fraud and lots of money
                   ADVANCE_FEE_4   Appears to be advance fee fraud (Nigerian 419)
               ADVANCE_FEE_4_NEW   Aparenta ser fraude (Nigerian 419)
               ADVANCE_FEE_4_NEW   Appears to be advance fee fraud (Nigerian 419)
          ADVANCE_FEE_4_NEW_FORM   Advance Fee fraud and a form
       ADVANCE_FEE_4_NEW_FRM_MNY   Advance Fee fraud form and lots of money
         ADVANCE_FEE_4_NEW_MONEY   Advance Fee fraud and lots of money
               ADVANCE_FEE_5_NEW   Appears to be advance fee fraud (Nigerian 419)
          ADVANCE_FEE_5_NEW_FORM   Advance Fee fraud and a form
       ADVANCE_FEE_5_NEW_FRM_MNY   Advance Fee fraud form and lots of money
         ADVANCE_FEE_5_NEW_MONEY   Advance Fee fraud and lots of money
        ALIBABA_IMG_NOT_RCVD_ALI   Alibaba hosted image but message not from Alibaba
                     ALL_TRUSTED   Mensagem passou via SMTP apenas por hosts confiáveis
                     ALL_TRUSTED   Nachricht wurde nur über vertrauenswürdige Rechner weitergeleitet
                     ALL_TRUSTED   Passed through trusted hosts only via SMTP
        AMAZON_IMG_NOT_RCVD_AMZN   Amazon hosted image but message not from Amazon
              ANY_BOUNCE_MESSAGE   Mensagem é um bounce de algum email
              ANY_BOUNCE_MESSAGE   Message is some kind of bounce message
                 APOSTROPHE_FROM   From address contains an apostrophe
           APP_DEVELOPMENT_FREEM   App development pitch, freemail or CHN replyto
          APP_DEVELOPMENT_NORDNS   App development pitch, no rDNS
                     ARC_INVALID   ARC signature exists, but is not valid
                      ARC_SIGNED   Message has a ARC signature
                       ARC_VALID   Message has a valid ARC signature
                             AWL   Absenderadresse in der automatischen weißen Liste
                             AWL   Adjusted score from AWL reputation of From: address
                             AWL   Endereço do From: está na auto welcomelist
    AXB_XMAILER_MIMEOLE_OL_024C2   Yet another X header trait
    AXB_XMAILER_MIMEOLE_OL_1ECD5   Yet another X header trait##} AXB_XMAILER_MIMEOLE_OL_1ECD5
                      BAD_CREDIT   Contient "Eliminate Bad Credit"
                      BAD_CREDIT   Contém: "Eliminate Bad Credit"
                      BAD_CREDIT   Eliminate Bad Credit
                      BAD_CREDIT   Erwähnt geplatzte Kredite oder Kreditwürdigkeit
                      BAD_CREDIT   Likwidacja problemów kredytowych
                      BAD_CREDIT   Los al uw leningen op
                  BAD_ENC_HEADER   Mensagem possui MIME encoding incorreto
                  BAD_ENC_HEADER   Message has bad MIME encoding in the header
                       BANG_GUAR   Dobitna gwarancja czego¶
                       BANG_GUAR   Eine Garantie mit Ausrufezeichen
                       BANG_GUAR   ...gegaranderd!
                       BANG_GUAR   Quelque chose est "garanti" de manière emphatique
                       BANG_GUAR   Something is emphatically guaranteed
                       BANG_GUAR   Spam sobre "alguma coisa" garantida ("guaranteed!")
                      BANG_OPRAH   Contém: "Oprah!"
                      BANG_OPRAH   Erwähnt Oprah (Winfrey), mit Ausrufezeichen
                      BANG_OPRAH   Iets met Oprah!
                      BANG_OPRAH   Parle d'Oprah avec point d'exclamation !
                      BANG_OPRAH   Talks about Oprah with an exclamation!
                      BANG_OPRAH   Tre¶æ: o Oprah z wykrzyknikiem!
                    BANKING_LAWS   Talks about banking laws
            BASE64_LENGTH_79_INF   base64 encoded email part uses line length greater than 79 characters
            BASE64_LENGTH_79_INF   base64 encoded email part uses line length of 78 or 79 characters
                        BAYES_00   Bayesiaanse kans op spam is 0 tot 1%
                        BAYES_00   Bayesowskie prawdopodobieñstwo spamu wynosi 0 do 1%
                        BAYES_00   Bayes spam probability is 0 to 1%
                        BAYES_00   L'algorithme Bayésien a évalué la probabilité de spam entre 0 et 1%
                        BAYES_00   Probabilidade de ser spam entre 0 to 1%
                        BAYES_00   Spamwahrscheinlichkeit nach Bayes-Test: 0-1%
                        BAYES_05   Bayesiaanse kans op spam is 1 tot 5%
                        BAYES_05   Bayesowskie prawdopodobieñstwo spamu wynosi 1 do 5%
                        BAYES_05   Bayes spam probability is 1 to 5%
                        BAYES_05   L'algorithme Bayésien a évalué la probabilité de spam entre 1 et 5%
                        BAYES_05   Probabilidade de ser spam entre 1 to 5%
                        BAYES_05   Spamwahrscheinlichkeit nach Bayes-Test: 1-5%
                        BAYES_20   Bayesiaanse kans op spam is 5 tot 20%
                        BAYES_20   Bayesowskie prawdopodobieñstwo spamu wynosi 5 do 20%
                        BAYES_20   Bayes spam probability is 5 to 20%
                        BAYES_20   L'algorithme Bayésien a évalué la probabilité de spam entre 5 et 20%
                        BAYES_20   Probabilidade de ser spam entre 5 to 20%
                        BAYES_20   Spamwahrscheinlichkeit nach Bayes-Test: 5-20%
                        BAYES_40   Bayesiaanse kans op spam is 20 tot 40%
                        BAYES_40   Bayesowskie prawdopodobieñstwo spamu wynosi 20 do 40%
                        BAYES_40   Bayes spam probability is 20 to 40%
                        BAYES_40   L'algorithme Bayésien a évalué la probabilité de spam entre 20 et 40%
                        BAYES_40   Probabilidade de ser spam entre 20 to 40%
                        BAYES_40   Spamwahrscheinlichkeit nach Bayes-Test: 20-40%
                        BAYES_50   Bayesiaanse kans op spam is 40 tot 60%
                        BAYES_50   Bayesowskie prawdopodobieñstwo spamu wynosi 40 do 60%
                        BAYES_50   Bayes spam probability is 40 to 60%
                        BAYES_50   L'algorithme Bayésien a évalué la probabilité de spam entre 40 et 60%
                        BAYES_50   Probabilidade de ser spam entre 40 to 60%
                        BAYES_50   Spamwahrscheinlichkeit nach Bayes-Test: 40-60%
                        BAYES_60   Bayesiaanse kans op spam is 60 tot 80%
                        BAYES_60   Bayesowskie prawdopodobieñstwo spamu wynosi 60 do 80%
                        BAYES_60   Bayes spam probability is 60 to 80%
                        BAYES_60   L'algorithme Bayésien a évalué la probabilité de spam entre 60 et 80%
                        BAYES_60   Probabilidade de ser spam entre 60 to 80%
                        BAYES_60   Spamwahrscheinlichkeit nach Bayes-Test: 60-80%
                        BAYES_80   Bayesiaanse kans op spam is 80 tot 95%
                        BAYES_80   Bayesowskie prawdopodobieñstwo spamu wynosi 80 do 95%
                        BAYES_80   Bayes spam probability is 80 to 95%
                        BAYES_80   L'algorithme Bayésien a évalué la probabilité de spam entre 80 et 95%
                        BAYES_80   Probabilidade de ser spam entre 80 to 95%
                        BAYES_80   Spamwahrscheinlichkeit nach Bayes-Test: 80-95%
                        BAYES_95   Bayesiaanse kans op spam is 95 tot 99%
                        BAYES_95   Bayesowskie prawdopodobieñstwo spamu wynosi 95 do 99%
                        BAYES_95   Bayes spam probability is 95 to 99%
                        BAYES_95   L'algorithme Bayésien a évalué la probabilité de spam entre 95 et 99%
                        BAYES_95   Probabilidade de ser spam entre 95 to 99%
                        BAYES_95   Spamwahrscheinlichkeit nach Bayes-Test: 95-99%
                       BAYES_999   Bayesiaanse kans op spam is 99.9 tot 100%
                       BAYES_999   Bayesowskie prawdopodobieñstwo spamu wynosi 99.9 do 100%
                       BAYES_999   Bayes spam probability is 99.9 to 100%
                       BAYES_999   L'algorithme Bayésien a évalué la probabilité de spam entre 99.9 et 100%
                       BAYES_999   Probabilidade de ser spam entre 99.9 to 100%
                       BAYES_999   Spamwahrscheinlichkeit nach Bayes-Test: 99.9-100%
                        BAYES_99   Bayesiaanse kans op spam is 99 tot 100%
                        BAYES_99   Bayesowskie prawdopodobieñstwo spamu wynosi 99 do 100%
                        BAYES_99   Bayes spam probability is 99 to 100%
                        BAYES_99   L'algorithme Bayésien a évalué la probabilité de spam entre 99 et 100%
                        BAYES_99   Probabilidade de ser spam entre 99 to 100%
                        BAYES_99   Spamwahrscheinlichkeit nach Bayes-Test: 99-100%
           BEBEE_IMG_NOT_RCVD_BB   Bebee hosted image but message not from Bebee
             BIGNUM_EMAILS_FREEM   Lots of email addresses/leads, free email account
              BIGNUM_EMAILS_MANY   Lots of email addresses/leads, over and over
                       BILL_1618   Mentions proposed US law supposedly permitting spamming
                 BILLION_DOLLARS   Erwähnt sehr große Geldbeträge
                 BILLION_DOLLARS   Evoque des millions ou milliards de dollars
                 BILLION_DOLLARS   Fala sobre muito dinheiro
                 BILLION_DOLLARS   Spreekt van heeel veel geld
                 BILLION_DOLLARS   Talks about lots of money
                 BILLION_DOLLARS   Tre¶æ: o niesamowitej ilo¶ci pieniêdzy
                    BITCOIN_BOMB   BitCoin + bomb
                BITCOIN_DEADLINE   BitCoin with a deadline
               BITCOIN_EXTORT_01   Extortion spam, pay via BitCoin
               BITCOIN_EXTORT_02   Extortion spam, pay via BitCoin
                   BITCOIN_IMGUR   Bitcoin + hosted image
               BITCOIN_MALF_HTML   Bitcoin + malformed HTML
                 BITCOIN_MALWARE   BitCoin + malware bragging
               BITCOIN_OBFU_SUBJ   Bitcoin + obfuscated subject
                    BITCOIN_ONAN   BitCoin + [censored]
                  BITCOIN_PAY_ME   Pay me via BitCoin
                 BITCOIN_SPAM_01   BitCoin spam pattern 01
                 BITCOIN_SPAM_02   BitCoin spam pattern 02
                 BITCOIN_SPAM_03   BitCoin spam pattern 03
                 BITCOIN_SPAM_04   BitCoin spam pattern 04
                 BITCOIN_SPAM_05   BitCoin spam pattern 05
                 BITCOIN_SPAM_06   BitCoin spam pattern 06
                 BITCOIN_SPAM_07   BitCoin spam pattern 07
                 BITCOIN_SPAM_08   BitCoin spam pattern 08
                 BITCOIN_SPAM_09   BitCoin spam pattern 09
                 BITCOIN_SPAM_10   BitCoin spam pattern 10
                 BITCOIN_SPAM_11   BitCoin spam pattern 11
                 BITCOIN_SPAM_12   BitCoin spam pattern 12
             BITCOIN_SPF_ONLYALL   Bitcoin from a domain specifically set to pass +all SPF
                  BITCOIN_TOEQFM   Bitcoin + To same as From
                   BITCOIN_VISTA   Bitcoin + old MSFT msgid format
                  BITCOIN_WFH_01   Work-from-Home + bitcoin
                   BITCOIN_XPRIO   Bitcoin + priority
               BITCOIN_YOUR_INFO   BitCoin with your personal info
               BLANK_LINES_80_90   Bericht bestaat voor 80-90% uit witregels
               BLANK_LINES_80_90   Corpo da mensagem é composto por 80-90% de linhas em branco
               BLANK_LINES_80_90   Le corps du message a 80 à 90% de lignes vides
               BLANK_LINES_80_90   Message body has 80-90% blank lines
               BLANK_LINES_80_90   Nachrichtentext besteht zu 80-90% aus Leerzeilen
               BLANK_LINES_80_90   Tre¶æ zawiera 80-90% pustych linii
                      BODY_8BITS   Bericht bevat 8 aaneengesloten 8-bit karakters
                      BODY_8BITS   Body contém 8 caracteres de 8-bit consecutivos
                      BODY_8BITS   Body includes 8 consecutive 8-bit characters
                      BODY_8BITS   Contient plusieurs caractères 8-bits consécutifs
                      BODY_8BITS   Nachrichtentext enthält Folge von 8 oder mehr 8-Bit-Zeichen
                      BODY_8BITS   Tre¶æ zawiera 8 kolejnych 8mio bitowych znaków
   BODY_EMAIL_419_FRAUD_GM_LOOSE   Ends-in-digits email address in body is likely advance fee fraud collector mailbox
               BODY_ENHANCEMENT2   Arnaque prétendant augmenter la taile de votre pénis
               BODY_ENHANCEMENT2   Informação sobre como aumentar partes do corpo
               BODY_ENHANCEMENT2   Informatie over het vergroten van lichaamsdelen
               BODY_ENHANCEMENT2   Informationen zur Penis-/Brustvergrößerung
               BODY_ENHANCEMENT2   Information on getting larger body parts
                BODY_ENHANCEMENT   Arnaque prétendant augmenter la taile de votre pénis
                BODY_ENHANCEMENT   Informação sobre como aumentar partes do corpo
                BODY_ENHANCEMENT   Informatie over het vergroten van lichaamsdelen
                BODY_ENHANCEMENT   Informationen zur Penis-/Brustvergrößerung
                BODY_ENHANCEMENT   Information on growing body parts
                BODY_SINGLE_WORD   Message body is only one word (no spaces)
                   BODY_URI_ONLY   Message body is only a URI in one line of text or for an image
              BOGUS_MIME_VERSION   Mime version header is bogus
                  BOGUS_MSM_HDRS   Apparently bogus Microsoft email headers
                      BOMB_FREEM   Bomb + freemail
                      BOMB_MONEY   Bomb + money: bomb threat?
                  BOUNCE_MESSAGE   Mensagem de bounce do MTA
                  BOUNCE_MESSAGE   MTA bounce message
                         BTC_ORG   Bitcoin wallet ID + unusual header
               BULK_RE_SUSP_NTLD   Precedence bulk and RE: from a suspicious TLD
                     CANT_SEE_AD   You really want to see our spam.
              CHALLENGE_RESPONSE   Challenge-Response message for mail you sent
              CHALLENGE_RESPONSE   Mensagem Tira-Teima de um email que você enviou
                 CHARSET_FARAWAY   Character set indicates a foreign language
                 CHARSET_FARAWAY   Character set indica um idioma estrangeiro
          CHARSET_FARAWAY_HEADER   A foreign language charset used in headers
          CHARSET_FARAWAY_HEADER   Charset estrangeiro utilizado no header
          CHARSET_FARAWAY_HEADER   Een buitenlandse taal wordt gebruikt in de headers
          CHARSET_FARAWAY_HEADER   En-tête utilisant un jeu de caractères exotique
          CHARSET_FARAWAY_HEADER   Fremdsprachlicher Zeichensatz in Kopfzeilen benutzt
          CHARSET_FARAWAY_HEADER   Obcojêzyczny zestaw znaków w nag³ówkach
                 CHARSET_FARAWAY   Karakterset wijst op vreemde taal
                 CHARSET_FARAWAY   List zawiera typ znaków oznaczaj±cy jêzyk obcy
                 CHARSET_FARAWAY   Message utilisant un jeu de caractères exotique
                 CHARSET_FARAWAY   Zeichensatz deutet auf fremde Sprache hin
                  CN_B2B_SPAMMER   Chinese company introducing itself
                  CN_PHISH_JP_01   Apparent Chinese phishing of Japanese target
                  CN_PHISH_JP_02   JP "password" + .cn URL - possible Chinese phishing
                  CN_PHISH_JP_03   JP "invoice" + .cn URL - possible Chinese phishing
                  CN_PHISH_JP_04   JP "payment" + .cn URL - possible Chinese phishing
               COMMENT_GIBBERISH   Nonsense in long HTML comment
                    COMPENSATION   "Compensation"
                CONFIRMED_FORGED   Cabeçalho Received é forjado
                CONFIRMED_FORGED   Gefälschte "Received"-Kopfzeilen
                CONFIRMED_FORGED   Les en-têtes "Received:" ont été falsifiés
                CONFIRMED_FORGED   Nag³ówki Received: s± sfa³szowane
                CONFIRMED_FORGED   Received headers are forged
                CONFIRMED_FORGED   Received headers zijn vervalst
              CONTENT_AFTER_HTML   More content after HTML close tag + other spam signs
         CONTENT_AFTER_HTML_WEAK   More content after HTML close tag
       CORRUPT_FROM_LINE_IN_HDRS   Informational: message is corrupt, with a From line in its headers
                CRBOUNCE_MESSAGE   Bounce de mensagem Tira-Teima
                CRBOUNCE_MESSAGE   Challenge-Response bounce message
               CTE_8BIT_MISMATCH   Header says 7bits but body disagrees
                CTYPE_8SPACE_GIF   Stock spam image part 'Content-Type' found (8 spc)
                        CUM_SHOT   Dikke kans op porno - Kwakjes
                        CUM_SHOT   Eventuell Pornowerbung: "cum shot"
                        CUM_SHOT   Pornografia - mensagem contém "Cum Shot"
                        CUM_SHOT   Pornographie probable, "gros plans d'éjaculations"
                        CUM_SHOT   Possible porn - Cum Shot
                        CUM_SHOT   Prawdopodobnie porno - 'Wytrysk nasienia'
            DATE_IN_FUTURE_03_06   Absendezeit 3 bis 6 Stunden nach Datum in "Received"-Kopfzeilen
            DATE_IN_FUTURE_03_06   Data: jest od 3 do 6 godzin po dacie z Received:
            DATE_IN_FUTURE_03_06   Date: é 3 a 6 horas depois do Received:
            DATE_IN_FUTURE_03_06   Date: est 3 à 6 heures après la date de l'en-tête Received:
            DATE_IN_FUTURE_03_06   Date: is 3 to 6 hours after Received: date
            DATE_IN_FUTURE_03_06   Date: is 3 tot 6 uur na Received: datum
            DATE_IN_FUTURE_06_12   Absendezeit 6 bis 12 Stunden nach Datum in "Received"-Kopfzeilen
            DATE_IN_FUTURE_06_12   Data: jest od 6 do 12 godzin po dacie z Received:
            DATE_IN_FUTURE_06_12   Date: é 6 a 12 horas depois do Received:
            DATE_IN_FUTURE_06_12   Date: est 6 à 12 heures après la date de l'en-tête Received:
            DATE_IN_FUTURE_06_12   Date: is 6 to 12 hours after Received: date
            DATE_IN_FUTURE_06_12   Date: is 6 tot 12 uur na Received: datum
            DATE_IN_FUTURE_12_24   Absendezeit 12 bis 24 Stunden nach Datum in "Received"-Kopfzeilen
            DATE_IN_FUTURE_12_24   Data: jest od 12 do 24 godzin po dacie z Received:
            DATE_IN_FUTURE_12_24   Date: é 12 a 24 horas depois do Received:
            DATE_IN_FUTURE_12_24   Date: est 12 à 24 heures après la date de l'en-tête Received:
            DATE_IN_FUTURE_12_24   Date: is 12 to 24 hours after Received: date
            DATE_IN_FUTURE_12_24   Date: is 12 tot 24 uur na Received: datum
            DATE_IN_FUTURE_24_48   Absendezeit 24 bis 48 Stunden nach Datum in "Received"-Kopfzeilen
            DATE_IN_FUTURE_24_48   Data: jest od 24 do 48 godzin po dacie z Received:
            DATE_IN_FUTURE_24_48   Date: é 24 a 48 horas depois do Received:
            DATE_IN_FUTURE_24_48   Date: est 24 à 48 heures après la date de l'en-tête Received:
            DATE_IN_FUTURE_24_48   Date: is 24 to 48 hours after Received: date
            DATE_IN_FUTURE_24_48   Date: is 24 tot 48 uur na Received: datum
            DATE_IN_FUTURE_48_96   Absendezeit 48 bis 96 Stunden nach Datum in "Received"-Kopfzeilen
            DATE_IN_FUTURE_48_96   Data: jest od 48 do 96 godzin po dacie z Received:
            DATE_IN_FUTURE_48_96   Date: é 48 a 96 horas depois do Received:
            DATE_IN_FUTURE_48_96   Date: est 48 à 96 heures après la date de l'en-tête Received:
            DATE_IN_FUTURE_48_96   Date: is 48 to 96 hours after Received: date
            DATE_IN_FUTURE_48_96   Date: is 48 tot 96 uur na Received: datum
             DATE_IN_FUTURE_96_Q   Date: is 4 days to 4 months after Received: date
            DATE_IN_FUTURE_96_XX   Absendezeit mehr als 96 Stunden nach Datum in "Received"-Kopfzeilen
            DATE_IN_FUTURE_96_XX   Data: jest od 96 lub wiêcej godzin po dacie z Received:
            DATE_IN_FUTURE_96_XX   Date: é 96 horas ou mais depois do Received:
            DATE_IN_FUTURE_96_XX   Date: est plus de 96 heures après la date de l'en-tête Received:
            DATE_IN_FUTURE_96_XX   Date: is 96 hours or more after Received: date
            DATE_IN_FUTURE_96_XX   Date: is 96 of meer uur na Received: datum
              DATE_IN_PAST_03_06   Absendezeit 3 bis 6 Stunden vor Datum in "Received"-Kopfzeilen
